title,hh_link,address,company,short_description,experience,salary
"Агент/Риэлтор по недвижимости (вторичное жилье, новостройки м. Отрадное)",https://hh.ru/vacancy/131906717?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Москва, р-н Отрадное",ИНКОМ-НЕДВИЖИМОСТЬ,Коммуникабельный: любит и умеет общаться. Хочет развиваться и успешно работать в недвижимости. Амбициозный: желает зарабатывать.,Без опыта,
Аналитик данных,https://hh.ru/vacancy/131462826?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Санкт-Петербург,Нмаркет.ПРО,Высшее образование. Опыт работы,Опыт 1-3 года,
Аналитик данных,https://hh.ru/vacancy/131998403?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,ООО ИЦ АЙ-ТЕКО,Опыт создания технической документации. Опыт работы с хранилищами,Опыт 1-3 года,
Аналитик данных,https://hh.ru/vacancy/131160717?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Нижний Новгород,Сбер для экспертов,"...запросов, работа с большим объемом",Опыт 1-3 года,
Аналитик данных,https://hh.ru/vacancy/131549046?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,ООО ИКС БИО ТЕХНОЛОДЖИ,...к,Опыт 3-6 лет,
Аналитик данных,https://hh.ru/vacancy/131990503?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,"ПАО МегаФон, Офис",Понимание базовых принципов работы хранилища,Опыт 1-3 года,
Аналитик баз данных,https://hh.ru/vacancy/131889061?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,ООО Фортис Технологии,Навыки работы с СУБД: построение SQL-запросов. Продвинутый пользователь Excel (обработка,Опыт 3-6 лет,
Аналитик данных,https://hh.ru/vacancy/131382886?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Горбилет,Опыт работы от 2 лет в роли,Опыт 3-6 лет,
Аналитик данных,https://hh.ru/vacancy/131984313?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,ООО ИЦ АЙ-ТЕКО,Опыт работы от 2 лет на позиции,Опыт 1-3 года,
Аналитик данных,https://hh.ru/vacancy/131982685?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,ООО ИЦ АЙ-ТЕКО,Знание теории проектирования реляционных БД. Опыт создания технической документации. Опыт работы с хранилищами,Опыт 3-6 лет,
Аналитик данных,https://hh.ru/vacancy/131981921?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Калуга, улица Платова, 6А",Координационный центр КГУ им. К.Э. Циолковского,...,Без опыта,
Аналитик данных,https://hh.ru/vacancy/131979572?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,Outlines Technologies,Умение разобраться в любой lineage-цепочке,Опыт 3-6 лет,
Дата-аналитик,https://hh.ru/vacancy/131992876?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Екатеринбург,Сбер. IT,"Высшее образование. Знание SQL (PostgreSQL, CTE, подзапросы, оконные функции, умение анализировать план запроса через EXPLAIN, оптимизировать запросы). Знание Python (ООП...",Опыт 1-3 года,
Аналитик данных,https://hh.ru/vacancy/131288686?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Нижний Новгород,Синергетик,...источниками,Опыт 3-6 лет,
Аналитик данных,https://hh.ru/vacancy/131978902?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,ООО Медиабюро Статус презенс,"Высшее образование. Аналитический склад ума, внимательность к деталям. Умение работать с большими объемами информации. Коммуникативные навыки для взаимодействия с отделами...",Опыт 1-3 года,
Дата-аналитик,https://hh.ru/vacancy/131989996?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Алматы,АО Bereke Bank - Центральный офис,"...законодательной и нормативной базы, регламентирующей банковскую деятельность. Понимание процессов взыскания на поздних стадиях просрочки. Опыт работы с большими массивами",Опыт 1-3 года,
Экономист аналитик/аналитик данных,https://hh.ru/vacancy/131465898?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Казань, р-н Советский",ООО Калье,...модели,Опыт 3-6 лет,
Junior аналитик данных,https://hh.ru/vacancy/131997017?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,Сбер для экспертов,...в,Опыт 1-3 года,
Дата аналитик,https://hh.ru/vacancy/131868482?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,ТехВилл,"Уверенное знание SQL (Clickhouse, Postgres, MS SQL) и Python. Понимание статистики и применения в А\Б тестах. Опыт создания читабельных...",Опыт 3-6 лет,
Аналитик данных,https://hh.ru/vacancy/131232738?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,Aviasales.ru,Опыт в дата или продуктовой,Опыт 3-6 лет,
Аналитик данных,https://hh.ru/vacancy/131069180?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Владивосток, проспект 100-летия Владивостока, 155к3",DNS Головной офис,"Опыт работы с SQL от 1,5 лет. Развитые коммуникативные навыки. Способность декомпозировать задачу, предложить план действий. Критическое мышление.",Опыт 1-3 года,
Аналитик данных/программист,https://hh.ru/vacancy/131990294?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Курган, р-н Центральный",ТФ ОМС Курганской области,"Знание языков/стандартов , SQL. Знания и опыт работы хотя бы с одной из СУБД PostgreSQL, Oracle, MSSQL, Firebird (Interbase), MySQL.",Без опыта,
Аналитик платформы данных,https://hh.ru/vacancy/131868762?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,Цифровой аудит,Опыт работы в хранилищах,Опыт 3-6 лет,
Аудитор - аналитик данных,https://hh.ru/vacancy/130372612?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,"ПАО ВТБ, Подразделения Поддержки и Контроля",Опыт работы в банковской сфере (аудит) или аудиторских компаниях от 2-3 лет. Владение инструментами анализа,Опыт 1-3 года,
Аналитик данных (стажер),https://hh.ru/vacancy/131982884?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Санкт-Петербург,Aston,Глубокое знание SQL и умение эффективно работать с базами,Без опыта,
Аналитик клиентских данных,https://hh.ru/vacancy/131861056?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,билайн: Бэк-офис,"Аналитический склад ума, умение работать с большими объемами",Опыт 1-3 года,
Аналитика данных / BI-аналитика,https://hh.ru/vacancy/131977066?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Москва, р-н Нагатино-Садовники",1й Нагатинский (СЗ Альфа),Опыт работы маркетинг-,Опыт 1-3 года,
Аналитик маркетинговых и продуктовых данных,https://hh.ru/vacancy/132003885?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,iConText Group,От 3 лет в,Опыт 3-6 лет,
Аналитик данных (Senior),https://hh.ru/vacancy/131980000?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,ООО В Кадре,"Обязательно: Опыт коммерческой разработки от 4+ лет (из них минимум 2 года как Senior). Продвинутый Python (pandas, numpy — уверенно...",Опыт 3-6 лет,
Аналитик данных BI,https://hh.ru/vacancy/130988067?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"село Преображенка, Индустриальная улица, 2А/3",ВИТА. Логистика,"Высшее образование, аналогичный опыт работы. Уверенный пользователь ПК (Power BI, Word, Excel, графические редакторы). Активная жизненная позиция и желание расти...",Опыт 1-3 года,
Аналитик данных/Аналитик BI,https://hh.ru/vacancy/129509955?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,СИНЕРГИЯ,Высшее образование. Опыт работы на позиции,Опыт 1-3 года,
Экономист/Аналитик данных/Планировщик,https://hh.ru/vacancy/131209236?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Хотьково, Заводская улица, 3","ОЛЕНТА, ТОРГОВО-ПРОИЗВОДСТВЕННАЯ ГРУППА","Уверенное владение 1С (УПП, УТ). - Опыт работы с большими массивами",Опыт 3-6 лет,
